dominio;codigo;descricao
dm_CBOSmonitor;225340;Médico hemoterapeuta
dm_CBOSmonitor;225345;Médico hiperbarista
dm_CBOSmonitor;225350;Médico neurofisiologista
dm_CBOSmonitor;226305;Musicoterapeuta
dm_CBOSmonitor;239425;Psicopedagogo
dm_CBOSmonitor;239425;Psicopedagogo
dm_CBOSmonitor;2515;
dm_CBOSmonitor;251505;
dm_CBOSmonitor;251510;Psicólogo clínico
dm_CBOSmonitor;251510;Psicólogo clínico
dm_CBOSmonitor;251515;
dm_CBOSmonitor;251520;
dm_CBOSmonitor;251525;
dm_CBOSmonitor;251530;
dm_CBOSmonitor;251535;
dm_CBOSmonitor;251540;
dm_CBOSmonitor;251545;Neuropsicólogo
dm_CBOSmonitor;251545;Neuropsicólogo
dm_CBOSmonitor;251550;Psicanalista
dm_CBOSmonitor;251550;Psicanalista
dm_CBOSmonitor;251605;Assistente social
dm_CBOSmonitor;251605;Assistente social
dm_CBOSmonitor;252105;
dm_CBOSmonitor;301105;
dm_CBOSmonitor;313410;
dm_CBOSmonitor;313505;
dm_CBOSmonitor;322105;
dm_CBOSmonitor;322115;
dm_CBOSmonitor;322205;Técnico de enfermagem
dm_CBOSmonitor;322205;Técnico de enfermagem
dm_CBOSmonitor;322210;
dm_CBOSmonitor;322215;
dm_CBOSmonitor;322220;Técnico de enfermagem psiquiátrica
dm_CBOSmonitor;322220;Técnico de enfermagem psiquiátrica
dm_CBOSmonitor;322225;Instrumentador cirúrgico
dm_CBOSmonitor;322225;Instrumentador cirúrgico
dm_CBOSmonitor;322230;Auxiliar de enfermagem
dm_CBOSmonitor;322230;Auxiliar de enfermagem
dm_CBOSmonitor;322235;
dm_CBOSmonitor;322240;
dm_CBOSmonitor;3222B3;
dm_CBOSmonitor;322305;
dm_CBOSmonitor;322405;
dm_CBOSmonitor;322410;
dm_CBOSmonitor;322415;
dm_CBOSmonitor;322420;
dm_CBOSmonitor;3225;
dm_CBOSmonitor;322505;
dm_CBOSmonitor;322605;
dm_CBOSmonitor;324105;
dm_CBOSmonitor;324110;
dm_CBOSmonitor;324115;
dm_CBOSmonitor;324205;
dm_CBOSmonitor;324210;
dm_CBOSmonitor;3251;
dm_CBOSmonitor;325105;
dm_CBOSmonitor;325110;
dm_CBOSmonitor;325115;
dm_CBOSmonitor;325310;
dm_CBOSmonitor;3522;
dm_CBOSmonitor;352210;
dm_CBOSmonitor;411010;
dm_CBOSmonitor;415120;
dm_CBOSmonitor;422105;
dm_CBOSmonitor;422110;
dm_CBOSmonitor;422115;
dm_CBOSmonitor;513220;
dm_CBOSmonitor;513430;
dm_CBOSmonitor;5151;
dm_CBOSmonitor;515105;
dm_CBOSmonitor;515110;
dm_CBOSmonitor;515115;
dm_CBOSmonitor;515120;
dm_CBOSmonitor;5152;
dm_CBOSmonitor;515210;
dm_CBOSmonitor;516115;
dm_CBOSmonitor;516135;
dm_CBOSmonitor;516210;Cuidador de idosos
dm_CBOSmonitor;516210;Cuidador de idosos
dm_CBOSmonitor;516805;
dm_CBOSmonitor;519305;
dm_CBOSmonitor;521130;
dm_CBOSmonitor;623315;
dm_CBOSmonitor;741105;
dm_CBOSmonitor;766420;
dm_CBOSmonitor;782310;
dm_CBOSmonitor;915105;
dm_CBOSmonitor;999999;CBO-S desconhecido ou não informado pelo solicitante
dm_UF;11;Rondônia RO
dm_UF;12;Acre AC
dm_UF;13;Amazonas AM
dm_UF;14;Roraima RR
dm_UF;15;Pará PA
dm_UF;16;Amapá AP
dm_UF;17;Tocantins TO
dm_UF;21;Maranhão MA
dm_UF;22;Piauí PI
dm_UF;23;Ceará CE
dm_UF;24;Rio Grande do Norte RN
dm_UF;25;Paraíba PB
dm_UF;26;Pernambuco PE
dm_UF;27;Alagoas AL
dm_UF;28;Sergipe SE
dm_UF;29;Bahia BA
dm_UF;31;Minas Gerais MG
dm_UF;32;Espírito Santo ES
dm_UF;33;Rio de Janeiro RJ
dm_UF;35;São Paulo SP
dm_UF;41;Paraná PR
dm_UF;42;Santa Catarina SC
dm_UF;43;Rio Grande do Sul RS
dm_UF;50;Mato Grosso do Sul MS
dm_UF;51;Mato Grosso MT
dm_UF;52;Goiás GO
dm_UF;53;Distrito Federal DF
dm_UF;98;Países Estrangeiros EX
dm_ausenciaCodValidacao;01;Beneficiário internado
dm_ausenciaCodValidacao;02;Beneficiário em situação de urgência/emergência
dm_ausenciaCodValidacao;03;Intermitência/Instabilidade de sistemas e regularização do atendimento após saída do beneficiário do prestador de serviço
dm_ausenciaCodValidacao;04;Beneficiário se negou a transmitir o número do token
dm_ausenciaCodValidacao;05;Beneficiário em coleta domiciliar
dm_ausenciaCodValidacao;06;Material para exames enviado ao prestador por terceiros
dm_ausenciaCodValidacao;07;Beneficiário não possui celular
dm_caraterAtendimento;1;Eletiva
dm_caraterAtendimento;2;Urgência/Emergência
dm_caraterMonitoramento;1;
dm_caraterMonitoramento;2;
dm_caraterMonitoramento;E;Eletiva U-Urgência/Emergência
dm_caraterMonitoramento;U;Urgência/Emergência
dm_centroConsumo;1;Berçário 2-Enfermaria 3-Apartamento 4-Semi-UTI 5-UTI 6-Centro Cirúrgico 7-Pronto Socorro 8-Radiologia 9-Laboratório
dm_centroConsumo;10;Nutrição
dm_centroConsumo;2;Enfermaria 3-Apartamento 4-Semi-UTI 5-UTI 6-Centro Cirúrgico 7-Pronto Socorro 8-Radiologia 9-Laboratório
dm_centroConsumo;3;Apartamento 4-Semi-UTI 5-UTI 6-Centro Cirúrgico 7-Pronto Socorro 8-Radiologia 9-Laboratório
dm_centroConsumo;4;Semi-UTI 5-UTI 6-Centro Cirúrgico 7-Pronto Socorro 8-Radiologia 9-Laboratório
dm_centroConsumo;5;UTI 6-Centro Cirúrgico 7-Pronto Socorro 8-Radiologia 9-Laboratório
dm_centroConsumo;6;Centro Cirúrgico 7-Pronto Socorro 8-Radiologia 9-Laboratório
dm_centroConsumo;7;Pronto Socorro 8-Radiologia 9-Laboratório
dm_centroConsumo;8;Radiologia 9-Laboratório
dm_centroConsumo;9;Laboratório
dm_cobEsp;01;Gestante
dm_cobEsp;02;Pré-operatório
dm_cobEsp;03;Pós-operatório
dm_condicaoClinica;A;Ausente E - Extração Indicada H - Hígido C-Cariado R - Restaurado
dm_condicaoClinica;C;Cariado R - Restaurado
dm_condicaoClinica;E;Extração Indicada H - Hígido C-Cariado R - Restaurado
dm_condicaoClinica;H;Hígido C-Cariado R - Restaurado
dm_condicaoClinica;R;Restaurado
dm_conselhoProfissional;01;CRESS Conselho Regional de Serviço Social
dm_conselhoProfissional;02;COREN Conselho Regional de Enfermagem
dm_conselhoProfissional;03;CRF Conselho Regional de Farmácia
dm_conselhoProfissional;04;CRFA Conselho Regional de Fonoaudiologia
dm_conselhoProfissional;05;CREFITO Conselho Regional de Fisioterapia e Terapia Ocupacional
dm_conselhoProfissional;06;CRM Conselho Regional de Medicina
dm_conselhoProfissional;07;CRN Conselho Regional de Nutrição
